user_id,gender,city,signup_date,signup_month
U000001,Other,New Roberttown,2025-03-13,3
U000002,Male,South Bridget,2024-03-05,3
U000003,Male,Curtisfurt,2025-07-07,7
U000004,Other,New Kellystad,2024-03-07,3
U000005,Female,South Joshuastad,2025-01-29,1
U000006,Male,East Steven,2024-04-21,4
U000007,Male,Port Antonio,2024-07-03,7
U000008,Male,Thomasberg,2024-08-03,8
U000009,Other,East William,2024-06-17,6
U000010,Male,Jamesmouth,2024-03-03,3
U000011,Other,Kaylamouth,2024-12-27,12
U000012,Other,Meaganhaven,2024-03-17,3
U000013,Other,Natashaport,2025-02-20,2
U000014,Male,East Donna,2024-06-12,6
U000015,Other,Lake Larry,2025-10-09,10
U000016,Female,Andrewside,2025-11-11,11
U000017,Male,New Johnfort,2024-06-06,6
U000018,Male,North Collin,2024-05-26,5
U000019,Male,South Jessicaville,2024-10-21,10
U000020,Male,South Lindseyside,2024-06-19,6
U000021,Male,South Todd,2024-03-07,3
U000022,Other,Mitchellside,2024-05-26,5
U000023,Other,Lake Leeton,2025-03-28,3
U000024,Male,New Carlosbury,2025-02-03,2
U000025,Other,Sarahborough,2024-10-03,10
U000026,Male,North Stephenshire,2025-04-03,4
U000027,Other,Justinmouth,2025-11-12,11
U000028,Other,East Josephville,2025-07-24,7
U000029,Other,Williamview,2025-05-22,5
U000030,Other,Kellieview,2025-09-11,9
U000031,Female,New Barry,2024-04-20,4
U000032,Male,Jasonbury,2024-09-09,9
U000033,Female,Port Francisco,2025-04-01,4
U000034,Other,West Erik,2025-07-01,7
U000035,Female,Loribury,2025-04-24,4
U000036,Male,Frazierside,2024-06-01,6
U000037,Male,Reedmouth,2024-08-14,8
U000038,Other,West Ryan,2024-10-25,10
U000039,Female,Nguyenport,2025-10-11,10
U000040,Female,Richardtown,2025-01-14,1
U000041,Female,Leonburgh,2024-07-26,7
U000042,Male,East Andrew,2025-03-26,3
U000043,Male,Lake Heather,2024-06-16,6
U000044,Female,Robinsonhaven,2024-12-04,12
U000045,Male,Stephaniemouth,2024-11-13,11
U000046,Male,Greenbury,2025-02-23,2
U000047,Female,Lake Justinview,2025-07-28,7
U000048,Male,North Robert,2024-08-17,8
U000049,Female,Port Nicoleshire,2024-08-14,8
U000050,Female,South Jeffrey,2024-09-17,9
U000051,Other,South Brittanytown,2024-10-25,10
U000052,Female,Murphyfurt,2024-02-27,2
U000053,Male,Jeffreyland,2024-07-09,7
U000054,Other,East Thomas,2025-06-18,6
U000055,Female,Port Loriport,2024-03-19,3
U000056,Other,New Hannahbury,2024-03-14,3
U000057,Male,Amandastad,2024-03-10,3
U000058,Female,Cynthiamouth,2024-02-17,2
U000059,Male,Petersenshire,2025-04-28,4
U000060,Other,Rogersfort,2024-07-02,7
U000061,Female,New Stacyland,2025-08-05,8
U000062,Other,Mcguireland,2024-06-14,6
U000063,Other,Michaelmouth,2024-07-20,7
U000064,Female,East Javier,2024-07-04,7
U000065,Other,Harrytown,2024-11-27,11
U000066,Male,Garciatown,2025-04-29,4
U000067,Other,Port Cameronfort,2025-01-27,1
U000068,Male,North Angela,2024-02-20,2
U000069,Male,Torreston,2024-10-11,10
U000070,Other,East Glenn,2025-02-20,2
U000071,Male,Jacquelinemouth,2024-02-21,2
U000072,Female,West Margaret,2024-02-18,2
U000073,Male,Benderhaven,2024-02-18,2
U000074,Male,North Jeremyshire,2025-01-04,1
U000075,Male,Moonburgh,2025-02-05,2
U000076,Female,Port Eugenechester,2025-11-12,11
U000077,Female,Port Richardhaven,2025-04-19,4
U000078,Female,Cindyfort,2025-07-18,7
U000079,Other,Martinezbury,2025-03-03,3
U000080,Female,Lake Marilynfort,2025-04-30,4
U000081,Male,Arnoldfurt,2025-09-29,9
U000082,Female,Sarahhaven,2024-05-10,5
U000083,Female,Reedside,2024-07-01,7
U000084,Male,Port Kimberly,2025-06-05,6
U000085,Other,South Tammie,2024-01-30,1
U000086,Female,Smithberg,2024-03-27,3
U000087,Other,Santosmouth,2024-10-07,10
U000088,Other,East Crystalport,2025-08-06,8
U000089,Other,Jacksonport,2025-11-13,11
U000090,Male,Knightburgh,2025-09-09,9
U000091,Other,Littlemouth,2024-04-26,4
U000092,Other,Vanessaport,2024-06-23,6
U000093,Male,South Ashley,2025-03-13,3
U000094,Other,New Julieport,2025-01-28,1
U000095,Other,Lake Colton,2025-06-14,6
U000096,Male,Markchester,2025-03-05,3
U000097,Male,Coffeyport,2024-04-30,4
U000098,Female,Coffeyside,2025-05-25,5
U000099,Female,Brendastad,2024-09-07,9
U000100,Female,Blankenshipport,2024-03-15,3
U000101,Other,New Derek,2025-03-20,3
U000102,Other,Penafort,2024-11-06,11
U000103,Other,Lake Michaelstad,2025-02-25,2
U000104,Male,North Kristinbury,2024-02-11,2
U000105,Other,Kimtown,2025-11-07,11
U000106,Female,West Kristybury,2024-07-08,7
U000107,Male,South Shanestad,2025-02-06,2
U000108,Male,Stephentown,2024-12-17,12
U000109,Male,West Charleneland,2024-02-11,2
U000110,Female,Wagnerchester,2024-03-27,3
U000111,Female,Mariafurt,2024-03-08,3
U000112,Female,Port Christopherchester,2024-10-11,10
U000113,Male,South Michaelchester,2024-03-07,3
U000114,Male,Lake Timothy,2025-08-16,8
U000115,Other,New Sarahview,2025-08-02,8
U000116,Other,Jonestown,2024-01-20,1
U000117,Female,Kimberlyshire,2024-03-03,3
U000118,Male,Tuckermouth,2025-02-11,2
U000119,Other,Brandonfurt,2024-10-10,10
U000120,Female,Davidfort,2025-11-04,11
U000121,Female,South Michelleton,2025-05-25,5
U000122,Other,Robertsfurt,2024-10-25,10
U000123,Female,Richardbury,2024-01-15,1
U000124,Male,New Cynthiahaven,2024-10-25,10
U000125,Female,New Eric,2024-12-14,12
U000126,Male,Maldonadoshire,2025-06-03,6
U000127,Male,Laurashire,2025-03-15,3
U000128,Other,Lake Michelleland,2024-02-08,2
U000129,Other,West Cassidy,2025-02-24,2
U000130,Other,North John,2024-12-08,12
U000131,Female,Schroederton,2024-10-26,10
U000132,Other,West Christopher,2025-06-23,6
U000133,Other,Angelicamouth,2025-03-29,3
U000134,Female,West Kyleborough,2025-07-10,7
U000135,Other,Lake Matthewberg,2024-08-21,8
U000136,Female,South Cheryl,2025-02-12,2
U000137,Female,West Erika,2025-05-29,5
U000138,Male,Port Cassandra,2025-01-25,1
U000139,Male,Christopherburgh,2025-08-20,8
U000140,Other,Sarahchester,2024-07-05,7
U000141,Female,Laceyberg,2024-02-06,2
U000142,Male,North Andrewborough,2024-01-27,1
U000143,Male,Davidbury,2025-07-25,7
U000144,Male,Lake Zacharybury,2024-10-14,10
U000145,Male,New Theresaland,2025-05-06,5
U000146,Other,Zavalaview,2025-10-14,10
U000147,Male,Dennisstad,2025-05-26,5
U000148,Other,Port Dennis,2025-01-08,1
U000149,Female,Sarahhaven,2025-05-04,5
U000150,Other,Port Dianaview,2024-09-29,9
U000151,Male,South Heather,2024-03-26,3
U000152,Female,New Kelly,2024-09-08,9
U000153,Female,Bellton,2024-03-11,3
U000154,Other,Lake Danastad,2025-05-12,5
U000155,Female,East Carlosstad,2024-12-16,12
U000156,Other,Hinesshire,2024-09-04,9
U000157,Female,South April,2024-04-04,4
U000158,Other,Gonzalezberg,2025-09-16,9
U000159,Male,Elizabethland,2025-08-06,8
U000160,Other,Port Michael,2025-01-11,1
U000161,Other,Tannerside,2024-06-02,6
U000162,Male,Hammondshire,2024-03-29,3
U000163,Other,Port Kimberly,2024-02-20,2
U000164,Other,West Fred,2025-03-13,3
U000165,Female,Davidport,2024-08-08,8
U000166,Other,Meganshire,2025-02-24,2
U000167,Female,South Pamelaside,2024-01-29,1
U000168,Male,East Scottfort,2024-07-17,7
U000169,Female,Zacharyville,2024-11-13,11
U000170,Female,Wrightburgh,2024-08-06,8
U000171,Male,Jimenezport,2025-07-10,7
U000172,Female,Brandonport,2024-12-06,12
U000173,Male,Andersonview,2024-12-04,12
U000174,Other,Angelaland,2025-05-12,5
U000175,Other,Angelastad,2024-09-21,9
U000176,Female,Stoneberg,2025-05-31,5
U000177,Other,Williamhaven,2025-02-18,2
U000178,Male,Lauratown,2024-12-30,12
U000179,Other,Hernandezbury,2025-02-12,2
U000180,Male,South Warren,2024-01-22,1
U000181,Other,Whitneyfort,2025-02-22,2
U000182,Female,East Joshua,2024-12-25,12
U000183,Other,Annview,2024-07-23,7
U000184,Other,Bobbyland,2024-07-15,7
U000185,Other,Derrickshire,2024-08-24,8
U000186,Male,Jenniferville,2024-06-12,6
U000187,Male,Santosport,2025-04-10,4
U000188,Female,East Robertburgh,2024-08-07,8
U000189,Male,North Kennethville,2025-09-30,9
U000190,Other,Nelsonville,2025-09-27,9
U000191,Other,East Cheryl,2024-08-14,8
U000192,Male,Morrisbury,2025-03-12,3
U000193,Other,West Desireebury,2024-01-05,1
U000194,Female,Lake Sabrinaport,2024-02-12,2
U000195,Female,Robertside,2024-09-08,9
U000196,Male,New Seanstad,2025-09-16,9
U000197,Male,Wilsonborough,2024-02-23,2
U000198,Female,Bryantton,2025-05-05,5
U000199,Female,New Charles,2025-01-17,1
U000200,Male,West Robertberg,2024-10-16,10
U000201,Male,Bennettside,2025-06-07,6
U000202,Male,Port Andrewport,2024-03-31,3
U000203,Other,Ericborough,2024-11-12,11
U000204,Male,North Craig,2025-10-03,10
U000205,Male,New Jeff,2024-01-23,1
U000206,Other,Joelberg,2025-08-13,8
U000207,Female,Peterston,2025-11-05,11
U000208,Male,Whiteside,2025-10-27,10
U000209,Other,Faulknerside,2024-11-19,11
U000210,Male,North Joseph,2024-12-28,12
U000211,Male,South Jason,2025-04-05,4
U000212,Other,Rochaborough,2025-09-12,9
U000213,Female,Michaelfort,2024-09-28,9
U000214,Other,New Michelleberg,2024-11-14,11
U000215,Male,South Ashley,2024-01-12,1
U000216,Female,Lake Laura,2024-06-17,6
U000217,Other,Port Adamberg,2024-04-25,4
U000218,Other,Hopkinstown,2025-07-30,7
U000219,Female,Drakeburgh,2024-01-05,1
U000220,Male,Lauraland,2024-03-14,3
U000221,Other,North Richardfurt,2024-09-12,9
U000222,Other,Arielville,2025-01-13,1
U000223,Other,Rachelshire,2025-09-04,9
U000224,Male,Hickmanport,2025-03-26,3
U000225,Other,Camposberg,2024-04-21,4
U000226,Female,Cassiefurt,2025-06-24,6
U000227,Female,Reynoldsshire,2025-10-24,10
U000228,Other,Dawsonberg,2025-03-27,3
U000229,Other,East Christopherchester,2025-05-20,5
U000230,Female,Michelletown,2024-11-03,11
U000231,Female,East Joseph,2024-07-18,7
U000232,Other,Sherylfort,2024-07-02,7
U000233,Female,Brockmouth,2025-02-10,2
U000234,Male,South Leon,2024-10-28,10
U000235,Male,Nicholasfurt,2025-10-21,10
U000236,Male,Hahnborough,2024-09-06,9
U000237,Male,Johnberg,2024-10-26,10
U000238,Female,Stephensstad,2025-05-04,5
U000239,Male,Gabrielton,2025-04-24,4
U000240,Other,West Jeffreyhaven,2025-01-20,1
