day,hour,conversion_count,visitor_count,conversion_rate
Monday,0,20,530,0.03773584905660377
Monday,1,30,580,0.05172413793103448
Monday,2,30,560,0.05357142857142857
Monday,3,18,550,0.03272727272727273
Monday,4,22,553,0.039783001808318265
Monday,5,22,586,0.03754266211604096
Monday,6,39,575,0.06782608695652174
Monday,7,23,585,0.039316239316239315
Monday,8,27,571,0.047285464098073555
Monday,9,31,573,0.05410122164048865
Monday,10,39,592,0.06587837837837837
Monday,11,32,551,0.05807622504537205
Monday,12,25,640,0.0390625
Monday,13,33,577,0.05719237435008666
Monday,14,23,537,0.04283054003724395
Monday,15,34,551,0.06170598911070781
Monday,16,31,639,0.048513302034428794
Monday,17,30,584,0.05136986301369863
Monday,18,36,601,0.059900166389351084
Monday,19,32,605,0.05289256198347107
Monday,20,19,576,0.03298611111111111
Monday,21,20,632,0.03164556962025317
Monday,22,20,555,0.036036036036036036
Monday,23,31,553,0.05605786618444846
Tuesday,0,43,620,0.06935483870967742
Tuesday,1,34,550,0.06181818181818182
Tuesday,2,28,638,0.0438871473354232
Tuesday,3,24,574,0.041811846689895474
Tuesday,4,27,595,0.0453781512605042
Tuesday,5,26,514,0.05058365758754864
Tuesday,6,48,592,0.08108108108108109
Tuesday,7,27,607,0.044481054365733116
Tuesday,8,40,597,0.06700167504187604
Tuesday,9,36,585,0.06153846153846154
Tuesday,10,24,573,0.041884816753926704
Tuesday,11,34,536,0.06343283582089553
Tuesday,12,23,656,0.0350609756097561
Tuesday,13,40,587,0.06814310051107325
Tuesday,14,26,568,0.045774647887323945
Tuesday,15,20,537,0.037243947858473
Tuesday,16,16,569,0.028119507908611598
Tuesday,17,32,527,0.06072106261859583
Tuesday,18,32,537,0.0595903165735568
Tuesday,19,22,579,0.037996545768566495
Tuesday,20,41,573,0.07155322862129145
Tuesday,21,39,568,0.06866197183098592
Tuesday,22,34,544,0.0625
Tuesday,23,28,583,0.048027444253859346
Wednesday,0,36,525,0.06857142857142857
Wednesday,1,29,585,0.04957264957264957
Wednesday,2,27,554,0.048736462093862815
Wednesday,3,21,566,0.037102473498233215
Wednesday,4,34,565,0.06017699115044248
Wednesday,5,25,599,0.041736227045075125
Wednesday,6,35,571,0.06129597197898424
Wednesday,7,34,579,0.05872193436960276
Wednesday,8,28,566,0.04946996466431095
Wednesday,9,28,564,0.04964539007092199
Wednesday,10,28,519,0.05394990366088632
Wednesday,11,27,605,0.04462809917355372
