order_id,user_id,order_date,order_status,total_amount,order_Month,order_Day,cohort,order_period,cohort_index,customer_segment,buyer_type
O00000001,U009310,2025-09-09 14:52:37.292731,processing,689.66,September,Tuesday,2025-09,2025-09,0,B2C (Regular),Überlegender Käufer
O00000002,U003247,2025-04-15 01:18:27.193404,completed,1666.85,April,Tuesday,2024-04,2025-04,12,B2C (Regular),Überlegender Käufer
O00000003,U007252,2025-04-27 15:37:48.008624,processing,665.06,April,Sunday,2024-04,2025-04,12,B2C (Regular),Überlegender Käufer
O00000006,U003449,2024-10-13 09:02:26.848944,completed,2258.34,October,Sunday,2024-09,2024-10,1,B2B (High Value),Gast_Bestellung
O00000008,U007661,2024-03-03 23:33:22.844913,completed,15.21,March,Sunday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000011,U004470,2025-08-14 09:59:55.223975,shipped,1016.61,August,Thursday,2025-08,2025-08,0,B2C (Regular),Gast_Bestellung
O00000013,U003631,2025-01-03 18:04:29.010457,processing,15.87,January,Friday,2024-11,2025-01,2,B2C (Regular),Gast_Bestellung
O00000014,U009493,2025-06-15 22:26:58.985044,shipped,520.96,June,Sunday,2024-03,2025-06,15,B2C (Regular),Überlegender Käufer
O00000016,U006392,2025-10-01 07:52:15.796147,processing,127.42,October,Wednesday,2025-10,2025-10,0,B2C (Regular),Überlegender Käufer
O00000017,U006684,2024-08-05 20:28:39.309665,processing,227.48,August,Monday,2024-08,2024-08,0,B2C (Regular),Überlegender Käufer
O00000020,U007957,2024-07-13 06:57:25.769991,completed,398.84,July,Saturday,2024-02,2024-07,5,B2C (Regular),Überlegender Käufer
O00000021,U002529,2025-07-30 08:08:33.421591,completed,209.51,July,Wednesday,2024-03,2025-07,16,B2C (Regular),Überlegender Käufer
O00000022,U004486,2024-08-28 22:17:59.087219,shipped,1072.94,August,Wednesday,2024-03,2024-08,5,B2C (Regular),Gast_Bestellung
O00000024,U003345,2025-06-20 17:10:48.147887,completed,803.47,June,Friday,2025-06,2025-06,0,B2C (Regular),Überlegender Käufer
O00000025,U006241,2024-01-23 02:00:10.375804,shipped,521.99,January,Tuesday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000026,U000638,2025-06-24 23:57:30.673090,shipped,54.13,June,Tuesday,2024-03,2025-06,15,B2C (Regular),Überlegender Käufer
O00000028,U007489,2024-01-09 07:28:10.638443,processing,334.14,January,Tuesday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000029,U006599,2025-05-23 18:15:57.806458,shipped,950.63,May,Friday,2024-03,2025-05,14,B2C (Regular),Überlegender Käufer
O00000030,U002144,2024-02-07 15:08:03.396213,shipped,265.14,February,Wednesday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000033,U000286,2024-05-29 17:27:31.175330,processing,2028.84,May,Wednesday,2024-02,2024-05,3,B2B (High Value),Gast_Bestellung
O00000034,U001759,2025-10-23 14:39:53.536172,completed,366.56,October,Thursday,2024-05,2025-10,17,B2C (Regular),Überlegender Käufer
O00000035,U007158,2024-02-19 10:35:26.319332,processing,55.44,February,Monday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000037,U002635,2025-11-03 23:18:22.552762,completed,19.77,November,Monday,2024-12,2025-11,11,B2C (Regular),Überlegender Käufer
