product_id,product_name,category,brand,price,rating,price_category,rating_category
P000001,Astra Be,Clothing,Astra,157.89,4.08,high,good
P000002,NeoTech Someone,Groceries,NeoTech,21.46,3.87,low,good
P000003,Acme Discuss,Sports,Acme,265.37,3.46,luxury,average
P000004,Nimbus South,Electronics,Nimbus,541.41,4.14,luxury,good
P000005,Astra Capital,Home & Kitchen,Astra,198.0,3.97,high,good
P000006,NeoTech When,Toys,NeoTech,18.61,3.2,low,average
P000007,Zenith School,Toys,Zenith,81.17,2.61,medium,average
P000008,Everest Friend,Clothing,Everest,33.86,2.93,low,average
P000009,Harbor Go,Home & Kitchen,Harbor,253.18,4.44,luxury,good
P000010,Orion Ahead,Sports,Orion,235.11,3.47,luxury,average
P000011,GreenLeaf They,Pet Supplies,GreenLeaf,2.99,2.77,low,average
P000012,GreenLeaf Road,Electronics,GreenLeaf,1299.71,3.61,luxury,good
P000013,Harbor Others,Groceries,Harbor,19.09,4.5,low,top_rated
P000014,Astra Anyone,Electronics,Astra,99.56,3.67,high,good
P000015,GreenLeaf Common,Pet Supplies,GreenLeaf,58.15,3.5,medium,good
P000016,Zenith Current,Groceries,Zenith,9.53,4.68,low,top_rated
P000017,Solace Something,Books,Solace,25.66,3.63,low,good
P000018,Solace A,Home & Kitchen,Solace,47.18,3.06,medium,average
P000019,Acme Live,Automotive,Acme,225.87,3.04,luxury,average
P000020,Nimbus Yard,Automotive,Nimbus,492.81,2.75,luxury,average
P000021,Willow Special,Electronics,Willow,1772.36,2.9,luxury,average
P000022,Nimbus Sit,Clothing,Nimbus,37.65,4.54,medium,top_rated
P000023,Harbor Health,Groceries,Harbor,22.11,3.09,low,average
P000024,Harbor Who,Automotive,Harbor,529.54,4.35,luxury,good
P000025,Zenith About,Automotive,Zenith,631.84,4.02,luxury,good
P000026,Pulse Such,Automotive,Pulse,742.47,2.85,luxury,average
P000027,Willow Evening,Toys,Willow,61.59,2.7,medium,average
P000028,Astra Road,Automotive,Astra,313.89,2.56,luxury,average
P000029,Solace Player,Automotive,Solace,357.87,4.32,luxury,good
P000030,Willow Budget,Clothing,Willow,139.45,3.93,high,good
P000031,Pulse The,Books,Pulse,37.01,3.37,medium,average
P000032,Orion Itself,Clothing,Orion,265.99,3.75,luxury,good
P000033,Pulse Officer,Toys,Pulse,44.46,3.6,medium,good
P000034,Everest Figure,Automotive,Everest,260.02,3.87,luxury,good
P000035,Everest Choose,Electronics,Everest,438.46,4.63,luxury,top_rated
P000036,Orion Laugh,Sports,Orion,81.88,3.64,medium,good
P000037,Orion Approach,Pet Supplies,Orion,44.4,3.06,medium,average
P000038,Astra Enter,Toys,Astra,44.23,3.85,medium,good
